Type;FSV-30;
Version;1.71 SP3;
Date;06.Aug 25;
Mode;ANALYZER;
Center Freq;11000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;22000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;22000000000.000000;Hz
Ref Level;-9.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;5000.000000;Hz
SWT;1.440000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
132000000.00000007;-75.294967651367188;-75.294967651367188
135666666.66666675;-75.544395446777344;-75.544395446777344
139333333.3333334;-75.56829833984375;-75.56829833984375
143000000.00000006;-75.490226745605469;-75.490226745605469
146666666.66666672;-75.169136047363281;-75.169136047363281
150333333.33333337;-75.308036804199219;-75.308036804199219
154000000.00000003;-75.553726196289062;-75.553726196289062
157666666.66666669;-75.472770690917969;-75.472770690917969
161333333.33333334;-75.333480834960938;-75.333480834960938
165000000;-75.355728149414062;-75.355728149414062
168666666.66666666;-75.262992858886719;-75.262992858886719
172333333.33333331;-75.163330078125;-75.163330078125
175999999.99999997;-74.977813720703125;-74.977813720703125
179666666.66666663;-74.783218383789063;-74.783218383789063
183333333.33333328;-75.099662780761719;-75.099662780761719
186999999.99999994;-75.09515380859375;-75.09515380859375
190666666.6666666;-75.241806030273438;-75.241806030273438
194333333.33333325;-74.694931030273437;-74.694931030273437
197999999.99999991;-75.076171875;-75.076171875
201666666.66666657;-74.7342529296875;-74.7342529296875
205333333.33333322;-75.11968994140625;-75.11968994140625
208999999.99999988;-75.364067077636719;-75.364067077636719
212666666.66666654;-75.67230224609375;-75.67230224609375
216333333.33333319;-75.558456420898438;-75.558456420898438
219999999.99999985;-75.386329650878906;-75.386329650878906
223666666.66666651;-75.459442138671875;-75.459442138671875
227333333.33333316;-75.412193298339844;-75.412193298339844
230999999.99999982;-75.090896606445312;-75.090896606445312
234666666.66666648;-74.858444213867188;-74.858444213867188
238333333.33333313;-75.294952392578125;-75.294952392578125
241999999.99999979;-75.1910400390625;-75.1910400390625
245666666.66666645;-75.277618408203125;-75.277618408203125
249333333.3333331;-74.94683837890625;-74.94683837890625
252999999.99999976;-74.602729797363281;-74.602729797363281
256666666.66666642;-75.077400207519531;-75.077400207519531
260333333.33333308;-74.547882080078125;-74.547882080078125
263999999.99999973;-74.668060302734375;-74.668060302734375
267666666.66666639;-75.123786926269531;-75.123786926269531
271333333.33333308;-75.439064025878906;-75.439064025878906
274999999.99999976;-75.687812805175781;-75.687812805175781
278666666.66666645;-75.724136352539062;-75.724136352539062
282333333.33333313;-75.0838623046875;-75.0838623046875
285999999.99999982;-75.437210083007812;-75.437210083007812
289666666.66666651;-75.530014038085938;-75.530014038085938
293333333.33333319;-75.502639770507813;-75.502639770507813
296999999.99999988;-75.743682861328125;-75.743682861328125
300666666.66666657;-75.917259216308594;-75.917259216308594
304333333.33333325;-75.686424255371094;-75.686424255371094
307999999.99999994;-75.845359802246094;-75.845359802246094
311666666.66666663;-76.049369812011719;-76.049369812011719
315333333.33333331;-75.826797485351563;-75.826797485351563
319000000;-75.645530700683594;-75.645530700683594
322666666.66666669;-75.823081970214844;-75.823081970214844
326333333.33333337;-75.834152221679688;-75.834152221679688
330000000.00000006;-75.534866333007812;-75.534866333007812
333666666.66666675;-75.500572204589844;-75.500572204589844
337333333.33333343;-75.353256225585937;-75.353256225585937
341000000.00000012;-75.600540161132812;-75.600540161132812
344666666.66666681;-75.327140808105469;-75.327140808105469
348333333.33333349;-75.668128967285156;-75.668128967285156
352000000.00000018;-75.724693298339844;-75.724693298339844
355666666.66666687;-75.590957641601563;-75.590957641601563
359333333.33333355;-75.551040649414062;-75.551040649414062
363000000.00000024;-75.830596923828125;-75.830596923828125
366666666.66666692;-75.248359680175781;-75.248359680175781
370333333.33333361;-75.12091064453125;-75.12091064453125
374000000.0000003;-75.185050964355469;-75.185050964355469
377666666.66666698;-75.1209716796875;-75.1209716796875
381333333.33333367;-74.7767333984375;-74.7767333984375
385000000.00000036;-75.011405944824219;-75.011405944824219
388666666.66666704;-74.784378051757812;-74.784378051757812
392333333.33333373;-74.824676513671875;-74.824676513671875
396000000.00000042;-74.982833862304688;-74.982833862304688
399666666.6666671;-75.270957946777344;-75.270957946777344
403333333.33333379;-75.2108154296875;-75.2108154296875
407000000.00000048;-75.364028930664062;-75.364028930664062
410666666.66666716;-75.548912048339844;-75.548912048339844
414333333.33333385;-76.046180725097656;-76.046180725097656
418000000.00000054;-75.601730346679688;-75.601730346679688
421666666.66666722;-75.783988952636719;-75.783988952636719
425333333.33333391;-75.826622009277344;-75.826622009277344
429000000.0000006;-76.027809143066406;-76.027809143066406
432666666.66666728;-75.661979675292969;-75.661979675292969
436333333.33333397;-76.3819580078125;-76.3819580078125
440000000.00000066;-76.239013671875;-76.239013671875
443666666.66666734;-76.290092468261719;-76.290092468261719
447333333.33333403;-76.162483215332031;-76.162483215332031
451000000.00000072;-76.263900756835938;-76.263900756835938
454666666.6666674;-76.393707275390625;-76.393707275390625
458333333.33333409;-76.19903564453125;-76.19903564453125
462000000.00000077;-76.368209838867188;-76.368209838867188
