Type;FSV-30;
Version;1.71 SP3;
Date;06.Aug 25;
Mode;ANALYZER;
Center Freq;11000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;22000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;22000000000.000000;Hz
Ref Level;-9.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;5000.000000;Hz
SWT;1.440000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
132000000.00000007;-75.34014892578125;-75.34014892578125
135666666.66666675;-75.152976989746094;-75.152976989746094
139333333.3333334;-75.430351257324219;-75.430351257324219
143000000.00000006;-75.221397399902344;-75.221397399902344
146666666.66666672;-75.080772399902344;-75.080772399902344
150333333.33333337;-75.035133361816406;-75.035133361816406
154000000.00000003;-75.098838806152344;-75.098838806152344
157666666.66666669;-75.029853820800781;-75.029853820800781
161333333.33333334;-75.198944091796875;-75.198944091796875
165000000;-75.273231506347656;-75.273231506347656
168666666.66666666;-74.700103759765625;-74.700103759765625
172333333.33333331;-75.396469116210937;-75.396469116210937
175999999.99999997;-75.4156494140625;-75.4156494140625
179666666.66666663;-75.092658996582031;-75.092658996582031
183333333.33333328;-75.174278259277344;-75.174278259277344
186999999.99999994;-75.181442260742188;-75.181442260742188
190666666.6666666;-75.032821655273437;-75.032821655273437
194333333.33333325;-75.530303955078125;-75.530303955078125
197999999.99999991;-75.274032592773438;-75.274032592773438
201666666.66666657;-75.001800537109375;-75.001800537109375
205333333.33333322;-75.182701110839844;-75.182701110839844
208999999.99999988;-75.294448852539063;-75.294448852539063
212666666.66666654;-75.413841247558594;-75.413841247558594
216333333.33333319;-75.189460754394531;-75.189460754394531
219999999.99999985;-75.437850952148438;-75.437850952148438
223666666.66666651;-75.4061279296875;-75.4061279296875
227333333.33333316;-75.535469055175781;-75.535469055175781
230999999.99999982;-75.347213745117188;-75.347213745117188
234666666.66666648;-75.386299133300781;-75.386299133300781
238333333.33333313;-74.837265014648438;-74.837265014648438
241999999.99999979;-74.794052124023438;-74.794052124023438
245666666.66666645;-74.910125732421875;-74.910125732421875
249333333.3333331;-75.196212768554688;-75.196212768554688
252999999.99999976;-75.026130676269531;-75.026130676269531
256666666.66666642;-74.777122497558594;-74.777122497558594
260333333.33333308;-74.757980346679688;-74.757980346679688
263999999.99999973;-75.130081176757813;-75.130081176757813
267666666.66666639;-74.981277465820313;-74.981277465820313
271333333.33333308;-74.969306945800781;-74.969306945800781
274999999.99999976;-75.423316955566406;-75.423316955566406
278666666.66666645;-75.485694885253906;-75.485694885253906
282333333.33333313;-75.501380920410156;-75.501380920410156
285999999.99999982;-75.460548400878906;-75.460548400878906
289666666.66666651;-75.330940246582031;-75.330940246582031
293333333.33333319;-75.510162353515625;-75.510162353515625
296999999.99999988;-75.912109375;-75.912109375
300666666.66666657;-75.546989440917969;-75.546989440917969
304333333.33333325;-75.900810241699219;-75.900810241699219
307999999.99999994;-75.995597839355469;-75.995597839355469
311666666.66666663;-75.622184753417969;-75.622184753417969
315333333.33333331;-75.665802001953125;-75.665802001953125
319000000;-75.832954406738281;-75.832954406738281
322666666.66666669;-75.943389892578125;-75.943389892578125
326333333.33333337;-75.7076416015625;-75.7076416015625
330000000.00000006;-75.871284484863281;-75.871284484863281
333666666.66666675;-75.852127075195312;-75.852127075195312
337333333.33333343;-75.800865173339844;-75.800865173339844
341000000.00000012;-75.968162536621094;-75.968162536621094
344666666.66666681;-75.848220825195313;-75.848220825195313
348333333.33333349;-75.415565490722656;-75.415565490722656
352000000.00000018;-75.165756225585937;-75.165756225585937
355666666.66666687;-75.671012878417969;-75.671012878417969
359333333.33333355;-75.563034057617188;-75.563034057617188
363000000.00000024;-75.326126098632813;-75.326126098632813
366666666.66666692;-75.40576171875;-75.40576171875
370333333.33333361;-75.187858581542969;-75.187858581542969
374000000.0000003;-75.213966369628906;-75.213966369628906
377666666.66666698;-75.129623413085937;-75.129623413085937
381333333.33333367;-74.927993774414063;-74.927993774414063
385000000.00000036;-74.498275756835937;-74.498275756835937
388666666.66666704;-74.875846862792969;-74.875846862792969
392333333.33333373;-75.030303955078125;-75.030303955078125
396000000.00000042;-75.011398315429688;-75.011398315429688
399666666.6666671;-75.107437133789063;-75.107437133789063
403333333.33333379;-75.499282836914062;-75.499282836914062
407000000.00000048;-75.495773315429688;-75.495773315429688
410666666.66666716;-75.391098022460938;-75.391098022460938
414333333.33333385;-75.683135986328125;-75.683135986328125
418000000.00000054;-75.958396911621094;-75.958396911621094
421666666.66666722;-76.156280517578125;-76.156280517578125
425333333.33333391;-75.952987670898438;-75.952987670898438
429000000.0000006;-76.108200073242188;-76.108200073242188
432666666.66666728;-76.383560180664063;-76.383560180664063
436333333.33333397;-76.119049072265625;-76.119049072265625
440000000.00000066;-76.019241333007813;-76.019241333007813
443666666.66666734;-76.238067626953125;-76.238067626953125
447333333.33333403;-76.21002197265625;-76.21002197265625
451000000.00000072;-76.469978332519531;-76.469978332519531
454666666.6666674;-76.707809448242188;-76.707809448242188
458333333.33333409;-76.317481994628906;-76.317481994628906
462000000.00000077;-76.15057373046875;-76.15057373046875
465666666.66666746;-76.621826171875;-76.621826171875
469333333.33333415;-76.574562072753906;-76.574562072753906
473000000.00000083;-76.406303405761719;-76.406303405761719
476666666.66666752;-76.253196716308594;-76.253196716308594
480333333.33333421;-75.96075439453125;-75.96075439453125
484000000.00000089;-76.023056030273438;-76.023056030273438
487666666.66666758;-75.610908508300781;-75.610908508300781
491333333.33333427;-76.047355651855469;-76.047355651855469
495000000.00000095;-75.943305969238281;-75.943305969238281
498666666.66666764;-75.664955139160156;-75.664955139160156
502333333.33333433;-75.154075622558594;-75.154075622558594
506000000.00000101;-75.023429870605469;-75.023429870605469
509666666.6666677;-74.87799072265625;-74.87799072265625
513333333.33333439;-74.750022888183594;-74.750022888183594
517000000.00000107;-74.992660522460937;-74.992660522460937
520666666.66666776;-75.045425415039063;-75.045425415039063
524333333.33333445;-74.664466857910156;-74.664466857910156
528000000.00000113;-74.844207763671875;-74.844207763671875
531666666.66666782;-74.628608703613281;-74.628608703613281
535333333.33333451;-75.458343505859375;-75.458343505859375
539000000.00000119;-75.443496704101563;-75.443496704101563
542666666.66666782;-75.677650451660156;-75.677650451660156
546333333.33333445;-75.587120056152344;-75.587120056152344
550000000.00000107;-75.83233642578125;-75.83233642578125
553666666.6666677;-76.066696166992187;-76.066696166992187
557333333.33333433;-75.82666015625;-75.82666015625
561000000.00000095;-75.5113525390625;-75.5113525390625
564666666.66666758;-76.2391357421875;-76.2391357421875
568333333.33333421;-76.276802062988281;-76.276802062988281
572000000.00000083;-75.859275817871094;-75.859275817871094
575666666.66666746;-76.260978698730469;-76.260978698730469
579333333.33333409;-76.294090270996094;-76.294090270996094
583000000.00000072;-75.992874145507812;-75.992874145507812
586666666.66666734;-76.312515258789063;-76.312515258789063
590333333.33333397;-76.011123657226562;-76.011123657226562
594000000.0000006;-75.800956726074219;-75.800956726074219
597666666.66666722;-76.299690246582031;-76.299690246582031
601333333.33333385;-75.858436584472656;-75.858436584472656
605000000.00000048;-76.109489440917969;-76.109489440917969
608666666.6666671;-75.869338989257813;-75.869338989257813
612333333.33333373;-75.854972839355469;-75.854972839355469
616000000.00000036;-75.867752075195312;-75.867752075195312
619666666.66666698;-75.169288635253906;-75.169288635253906
623333333.33333361;-75.495063781738281;-75.495063781738281
627000000.00000024;-75.272293090820312;-75.272293090820312
630666666.66666687;-75.259994506835938;-75.259994506835938
634333333.33333349;-74.935577392578125;-74.935577392578125
638000000.00000012;-74.669731140136719;-74.669731140136719
641666666.66666675;-74.672096252441406;-74.672096252441406
645333333.33333337;-74.543045043945313;-74.543045043945313
649000000;-74.578880310058594;-74.578880310058594
652666666.66666663;-74.248519897460937;-74.248519897460937
656333333.33333325;-74.572898864746094;-74.572898864746094
659999999.99999988;-74.77056884765625;-74.77056884765625
663666666.66666651;-74.597091674804687;-74.597091674804687
667333333.33333313;-74.770370483398437;-74.770370483398437
670999999.99999976;-75.144699096679688;-75.144699096679688
674666666.66666639;-74.951606750488281;-74.951606750488281
678333333.33333302;-75.263137817382812;-75.263137817382812
681999999.99999964;-75.640449523925781;-75.640449523925781
685666666.66666627;-75.260765075683594;-75.260765075683594
689333333.3333329;-75.576484680175781;-75.576484680175781
692999999.99999952;-75.848526000976563;-75.848526000976563
696666666.66666615;-75.866111755371094;-75.866111755371094
700333333.33333278;-75.707015991210938;-75.707015991210938
703999999.9999994;-76.01055908203125;-76.01055908203125
707666666.66666603;-75.810173034667969;-75.810173034667969
711333333.33333266;-76.048713684082031;-76.048713684082031
714999999.99999928;-75.74884033203125;-75.74884033203125
718666666.66666591;-75.891250610351563;-75.891250610351563
722333333.33333254;-75.842208862304688;-75.842208862304688
725999999.99999917;-75.327987670898437;-75.327987670898437
729666666.66666579;-75.172370910644531;-75.172370910644531
733333333.33333242;-75.286201477050781;-75.286201477050781
736999999.99999905;-75.577171325683594;-75.577171325683594
740666666.66666567;-75.230705261230469;-75.230705261230469
744333333.3333323;-75.354522705078125;-75.354522705078125
747999999.99999893;-74.926795959472656;-74.926795959472656
751666666.66666555;-74.764678955078125;-74.764678955078125
755333333.33333218;-74.553932189941406;-74.553932189941406
758999999.99999881;-74.203994750976562;-74.203994750976562
762666666.66666543;-74.241432189941406;-74.241432189941406
766333333.33333206;-73.908866882324219;-73.908866882324219
769999999.99999869;-73.849021911621094;-73.849021911621094
773666666.66666532;-73.564201354980469;-73.564201354980469
777333333.33333194;-73.632102966308594;-73.632102966308594
780999999.99999857;-73.575027465820312;-73.575027465820312
784666666.6666652;-73.427345275878906;-73.427345275878906
788333333.33333182;-73.393768310546875;-73.393768310546875
791999999.99999845;-73.496391296386719;-73.496391296386719
795666666.66666508;-74.02899169921875;-74.02899169921875
799333333.3333317;-74.055580139160156;-74.055580139160156
802999999.99999833;-74.6834716796875;-74.6834716796875
806666666.66666496;-74.542144775390625;-74.542144775390625
810333333.33333158;-74.4425048828125;-74.4425048828125
813999999.99999821;-74.891189575195312;-74.891189575195312
817666666.66666484;-74.934730529785156;-74.934730529785156
821333333.33333147;-74.602035522460937;-74.602035522460937
824999999.99999809;-75.196853637695312;-75.196853637695312
828666666.66666472;-75.001083374023438;-75.001083374023438
